         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _pyio.py:28(BlockingIOError)
        1    0.000    0.000    0.003    0.003 _pyio.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _pyio.py:523(RawIOBase)
        1    0.000    0.000    0.000    0.000 _pyio.py:588(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 _pyio.py:677(_BufferedIOMixin)
        1    0.000    0.000    0.000    0.000 _pyio.py:787(BytesIO)
        1    0.000    0.000    0.000    0.000 _pyio.py:901(BufferedReader)
     2795    0.001    0.000    0.001    0.000 _weakrefset.py:16(__init__)
     2795    0.002    0.000    0.003    0.000 _weakrefset.py:20(__enter__)
     2795    0.004    0.000    0.005    0.000 _weakrefset.py:26(__exit__)
      862    0.002    0.000    0.002    0.000 _weakrefset.py:36(__init__)
     2795    0.001    0.000    0.001    0.000 _weakrefset.py:52(_commit_removals)
     2811    0.007    0.000    0.016    0.000 _weakrefset.py:58(__iter__)
     5999    0.003    0.000    0.003    0.000 _weakrefset.py:68(__contains__)
     3014    0.003    0.000    0.004    0.000 _weakrefset.py:79(add)
      283    0.004    0.000    0.016    0.000 abc.py:116(__new__)
      283    0.001    0.000    0.002    0.000 abc.py:119(<setcomp>)
        6    0.000    0.000    0.000    0.000 abc.py:135(register)
        1    0.000    0.000    0.000    0.000 abc.py:158(__instancecheck__)
 3005/241    0.015    0.000    0.042    0.000 abc.py:174(__subclasscheck__)
      116    0.000    0.000    0.000    0.000 abc.py:8(abstractmethod)
        1    0.001    0.001    0.002    0.002 actionable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 actionable.py:10(Actionable)
        1    0.000    0.000    0.141    0.141 actionable.py:12(invoke)
        1    0.000    0.000    0.000    0.000 actionable.py:59(Action)
        1    0.000    0.000    0.000    0.000 actionable.py:6(NoAuthorizedActionException)
       19    0.000    0.000    0.000    0.000 actionable.py:60(__init__)
       19    0.000    0.000    0.016    0.001 actionable.py:64(__call__)
        1    0.000    0.000    0.141    0.141 actionable.py:65(wrapped)
        4    0.000    0.000    0.006    0.002 actionable.py:71(WithActions)
       30    0.000    0.000    0.000    0.000 actionable.py:83(get_distance_from_actionable)
       30    0.000    0.000    0.005    0.000 actionable.py:94(get_class_that_defined_method)
        1    0.000    0.000    0.000    0.000 aliases.py:13(<module>)
       10    0.000    0.000    0.000    0.000 aliases.py:37(get_python_name)
        1    0.000    0.000    0.000    0.000 api.py:1048(TypeIO)
        1    0.000    0.000    0.000    0.000 api.py:1054(SocketFactory)
        1    0.000    0.000    0.000    0.000 api.py:1115(Category)
        1    0.000    0.000    0.000    0.000 api.py:113(Result)
        1    0.000    0.000    0.000    0.000 api.py:1131(Connector)
        5    0.000    0.000    0.001    0.000 api.py:1140(__call__)
        5    0.000    0.000    0.000    0.000 api.py:1147(__init__)
        1    0.000    0.000    0.000    0.000 api.py:1165(Connection)
        5    0.000    0.000    0.000    0.000 api.py:1209(connect)
        1    0.000    0.000    0.000    0.000 api.py:1241(Driver)
        1    0.000    0.000    0.000    0.000 api.py:1256(Installation)
        1    0.000    0.000    0.000    0.000 api.py:1296(Cluster)
        1    0.000    0.000    0.001    0.001 api.py:13(<module>)
        1    0.000    0.000    0.000    0.000 api.py:205(Chunks)
        1    0.000    0.000    0.000    0.000 api.py:212(Cursor)
        1    0.000    0.000    0.000    0.000 api.py:309(Execution)
        1    0.000    0.000    0.000    0.000 api.py:37(Message)
        1    0.000    0.000    0.000    0.000 api.py:468(Statement)
        1    0.000    0.000    0.000    0.000 api.py:601(StoredProcedure)
        1    0.000    0.000    0.000    0.000 api.py:635(Transaction)
        1    0.000    0.000    0.000    0.000 api.py:762(Settings)
        1    0.000    0.000    0.000    0.000 api.py:838(Database)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.002    0.002    0.002    0.002 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth_basic.py:19(<module>)
        1    0.000    0.000    0.000    0.000 auth_digest.py:127(HttpDigestAuthorization)
        1    0.000    0.000    0.000    0.000 auth_digest.py:19(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:148(<listcomp>)
